structure,remark,pos
"abalio","","s"
"abalios","","p"
"abdomen","","s"
"acnatsci","","p"
"acnatscus","","s"
"acoustico_lateralis","","s"
"actinost","","s"
"actinosts","","p"
"adiposefin","","s"
"adipose_caudal","","s"
"adnasal","","s"
"adolescent","","s"
"adolescents","","p"
"adpharyngeal","","s"
"adults","","p"
"african_type","","s"
"aggregation","","s"
"aggregations","","p"
"agulha","","s"
"agulhas","","p"
"albifron","","s"
"albifrons","","p"
"amblyopine","","s"
"amblyopines","","p"
"amblyopsi","","s"
"amblyopsid","","s"
"amblyopsids","","p"
"amblyopsis","","s"
"amieti","","p"
"amietus","","s"
"anablep","","s"
"anableps","","p"
"analfins","","p"
"anal_caudal","","s"
"ancistrini","","p"
"ancistrinus","","s"
"angles","","p"
"antenna","","s"
"antennae","","p"
"anteriors","","p"
"anterior_dorsum","","s"
"anterolaterals","","p"
"anus","","s"
"anusye","","s"
"anusyes","","p"
"aperture","","s"
"apertures","","p"
"apex","","s"
"apexes","","p"
"apices","","p"
"apparatus","","s"
"appendage","","s"
"appendages","","p"
"appendex","","s"
"appendices","","p"
"apron","","s"
"aprons","","p"
"apteronotid","","s"
"apteronotids","","p"
"aquaria","","s"
"arch","","s"
"arches","","p"
"ardo","","s"
"area","","s"
"areas","","s"
"ariid","","s"
"ariids","","p"
"arm","","s"
"arms","","p"
"arnoulti","","p"
"arnoultus","","s"
"artefact","","s"
"artefacts","","p"
"articulation","","s"
"articulations","","p"
"assemblage","","s"
"assemblages","","p"
"asterisk","","s"
"asterisks","","p"
"atomarium","","s"
"australi","","s"
"australis","","p"
"autopalatine","","s"
"axis","","s"
"a_scale","","s"
"back","","s"
"band","","s"
"bandinter_band","","s"
"bands","","p"
"band_interband","","s"
"bar","","s"
"barb","","s"
"barbel","","s"
"barbels","","p"
"barbs","","p"
"bars","","p"
"bases","","p"
"basibranchial","","s"
"basibranchials","","p"
"basihyal","","s"
"basin","","s"
"basins","","p"
"basipterygium","","s"
"basisphenoid","","s"
"berryi","","p"
"berryus","","s"
"bicuspids","","p"
"bladder","","s"
"blotch","","s"
"blotches","","p"
"bodies","","p"
"bonapartii","","p"
"bonapartius","","s"
"bone","","s"
"bones","","p"
"borders","","p"
"boundaries","","p"
"boundary","","s"
"brachia","","p"
"brachium","","s"
"bracket","","s"
"brackets","","p"
"brain","","s"
"brains","","p"
"branch","","s"
"branches","","p"
"branchiospine","","s"
"branchiospines","","p"
"branchiostegal","","s"
"branchiostegals","","p"
"bridge","","s"
"bristle","","s"
"bristles","","p"
"brush","","s"
"brushes","","p"
"bulla","","s"
"bullae","","p"
"bump","","s"
"bumps","","p"
"bundle","","s"
"bundles","","p"
"caeca","","s"
"caeruliventri","","s"
"caeruliventris","","p"
"canal","","s"
"canals","","p"
"canine","","s"
"canines","","p"
"capsule","","s"
"capsules","","p"
"cartilage","","s"
"cartilages","","p"
"cas","","s"
"case","","s"
"cases","","p"
"caudals","","p"
"caudal_lobe","","s"
"caudal_peduncle","","s"
"caudal_tail","","s"
"cavities","","p"
"cavity","","s"
"cell","","s"
"cells","","p"
"center","","s"
"centers","","p"
"centra","","s"
"centre","","s"
"centres","","p"
"centrum","","s"
"ceratobranchial","","s"
"ceratobranchials","","p"
"ceratohyal","","s"
"ceratohyals","","p"
"ceratotrichia","","p"
"ceratotrichium","","s"
"cerebellar","","s"
"cerebellari","","s"
"cerebellaris","","s"
"chamber","","s"
"chambers","","p"
"channel","","s"
"channels","","p"
"characidium","","s"
"cheek","","s"
"cheeks","","p"
"chest","","s"
"chest_scale","","s"
"chest_scales","","p"
"chin","","s"
"chomatophore","","s"
"chomatophores","","p"
"chromatophore","","s"
"chromatophores","","p"
"cichlid","","s"
"cichlids","","p"
"circuli","","p"
"circulus","","s"
"circumorbial","","s"
"circumorbital","","s"
"cirri","","p"
"cirrus","","s"
"clasper","","s"
"claspers","","p"
"cleithrum","","s"
"cloaca","","s"
"clump","","s"
"clumps","","p"
"clypeus","","s"
"collettei","","p"
"colletteus","","s"
"colliei","","p"
"collieus","","s"
"column","","s"
"columns","","p"
"commissure","","s"
"component","","s"
"components","","p"
"condyle","","s"
"condyles","","p"
"configuration","","s"
"configurations","","p"
"congener","","s"
"congeneric","","s"
"congenerics","","p"
"congeners","","p"
"content","","s"
"contents","","p"
"corner","","s"
"corners","","p"
"coxa","","s"
"coxae","","p"
"cranium","","s"
"crease","","s"
"crenulation","","s"
"crenulations","","p"
"crescent","","s"
"crescents","","p"
"crest","","s"
"crests","","p"
"cross_bars","","p"
"cross_section","","s"
"crown","","s"
"crowns","","p"
"ctenii","","p"
"ctenius","","s"
"curtain","","s"
"curves","","p"
"cusp","","s"
"cuspid","","s"
"cusplet","","s"
"cusplets","","p"
"cusps","","p"
"dash","","s"
"dashes","","p"
"dentaries","","p"
"dentation","","s"
"dentations","","p"
"denticle","","s"
"denticles","","p"
"denticulation","","s"
"denticulations","","p"
"dentiformis","","s"
"dentition","","s"
"depression","","s"
"depressions","","p"
"dermosphenotic","","s"
"desmosphenotic","","s"
"deviation","","s"
"deviations","","p"
"diastema","","s"
"dip","","s"
"disc","","s"
"discharge","","s"
"discharges","","p"
"disk","","s"
"disk_anus","","s"
"dissection","","s"
"disto_medial","","s"
"division","","s"
"divisions","","p"
"dorsalfin","","s"
"dorsalfins","","p"
"dorsals","","p"
"dorsal_spine","","s"
"dorsum","","s"
"dot","","s"
"dots","","p"
"drainage","","s"
"drainages","","p"
"drao","","s"
"drape","","s"
"drapes","","p"
"drop_off","","s"
"drop_offs","","p"
"d_type","","s"
"ectopterygoid","","s"
"edge","","s"
"edwardsii","","p"
"edwardsius","","s"
"egg","","s"
"eggs","","p"
"eigenmanni","","p"
"eigenmannus","","s"
"electroplate","","s"
"electroplates","","p"
"element","","s"
"elements","","p"
"embryo","","s"
"embryos","","p"
"end","","s"
"endopterygoid","","s"
"ends","","p"
"endsnout","","s"
"epibranchial","","s"
"epibranchials","","p"
"epicaudal_lobe","","s"
"epineural","","s"
"epineurals","","p"
"epiotic","","s"
"epiotics","","s"
"epithelia","","p"
"epithelium","","s"
"epural","","s"
"epurals","","p"
"eschmeyeri","","p"
"eschmeyerus","","s"
"ethmoid","","s"
"ethmoids","","p"
"excavation","","s"
"excavations","","p"
"exoccipital","","s"
"exoccipitals","","p"
"exorhipidion","","s"
"expansion","","s"
"expansions","","p"
"extension","","s"
"extensions","","p"
"extremities","","p"
"extremity","","s"
"eye","","s"
"eyeball","","s"
"eyeballs","","p"
"eyelid","","s"
"eyelids","","p"
"eyes","","p"
"eye_diameter","","s"
"eye_spiracle","","s"
"e_scale","","s"
"e_scales","","p"
"e_type","","s"
"face","","s"
"faces","","p"
"feet","","p"
"female","","s"
"females","","p"
"fenestra","","s"
"fenestrae","","p"
"fiber","","s"
"fibers","","p"
"fibre","","s"
"fibres","","p"
"fibroid","","s"
"fibroids","","p"
"field","","s"
"fields","","p"
"filament","","s"
"filamentosus","","s"
"filaments","","p"
"fin","","s"
"finray","","s"
"finrays","","p"
"fins","","p"
"fintip","","s"
"fintips","","p"
"fin_base","","s"
"fin_origin","","s"
"fin_spine","","s"
"first_ray","","s"
"flame","","s"
"flames","","p"
"flange","","s"
"flanges","","p"
"flanks","","p"
"flap","","s"
"flaps","","p"
"fleck","","s"
"flecks","","p"
"flesh","","s"
"fold","","s"
"folds","","p"
"fontanel","","s"
"fontanelle","","s"
"fontanelles","","p"
"fontanels","","p"
"foot","","s"
"foramen","","s"
"foramina","","p"
"forecoxa","","s"
"forecoxae","","p"
"forntal","","s"
"forntals","","p"
"fragilis","","s"
"freckle","","s"
"freckles","","p"
"frenum","","s"
"fron","","s"
"frons","","p"
"frontal","","s"
"frontals","","p"
"fundulopanchax","","s"
"furrow","","s"
"furrows","","p"
"fusion","","s"
"fusions","","p"
"f_scale","","s"
"galvi","","p"
"galvis","","s"
"gap","","s"
"gape","","s"
"gaps","","p"
"geayi","","p"
"geayus","","s"
"gena","","s"
"genae","","p"
"gill","","s"
"gillraker","","s"
"gillrakers","","p"
"gills","","p"
"gill_arch","","s"
"gill_opening","","s"
"gill_raker","","s"
"gill_slit","","s"
"girardi","","p"
"girardus","","s"
"girdle","","s"
"girdles","","s"
"glan","","s"
"gland","","s"
"glans","","p"
"glossohyal","","s"
"gobiid","","s"
"gobiids","","p"
"gobioid","","s"
"gobioids","","p"
"gonactinost","","s"
"gonactinosts","","p"
"gonad","","s"
"gonads","","p"
"gonapophyse","","s"
"gonapophyses","","p"
"gonopodium","","s"
"gracili","","s"
"gracilis","","p"
"granule","","s"
"granules","","p"
"groove","","s"
"grooves","","p"
"growth","","s"
"gut","","s"
"gyne","","s"
"gynes","","p"
"hair","","s"
"hairs","","p"
"halves","","p"
"harmonic","","s"
"harmonics","","p"
"hatchling","","s"
"hatchlings","","p"
"head","","s"
"heads","","p"
"heterodonty","","s"
"high_frequency","","s"
"hole","","s"
"holes","","p"
"honda","","s"
"hondae","","p"
"hook","","s"
"hooks","","p"
"horn","","s"
"horns","","p"
"hubb","","s"
"hubbs","","p"
"hutchinsi","","p"
"hutchinsus","","s"
"hypobranchial","","s"
"hypobranchials","","p"
"hypohyal","","s"
"hypohyals","","p"
"hypostomina","","s"
"hypostominae","","p"
"hypural","","s"
"hypurals","","p"
"hypurapophysi","","s"
"hypurapophysis","","p"
"h_scale","","s"
"h_scales","","p"
"illicium","","s"
"incisors","","p"
"indentation","","s"
"indentations","","p"
"individuals","","p"
"infranuchal","","s"
"infraorbitals","","p"
"infrapharyngobranchial","","s"
"infrapharyngobranchials","","p"
"insect","","s"
"insects","","p"
"insertion","","s"
"insertions","","p"
"integument","","s"
"interband","","s"
"interbands","","p"
"interdigitation","","s"
"interdigitations","","p"
"interface","","s"
"interhyal","","s"
"intermaxillary","","s"
"intermuscular","","s"
"intermusculars","","p"
"internasal","","s"
"internasal_flap","","s"
"interopercle","","s"
"interopercule","","s"
"interorbit","","s"
"interorbital","","s"
"interpelvic","","s"
"interradial","","s"
"intersection","","s"
"intersections","","p"
"interspace","","s"
"interspaces","","p"
"interspiracle","","s"
"intertemporal","","s"
"interval","","s"
"intervals","","p"
"inter_eye","","s"
"inter_rays","","p"
"inter_saddle","","s"
"intestine","","s"
"iridescence","","s"
"iridescences","","p"
"iridophore","","s"
"iridophores","","p"
"iris","","s"
"island","","s"
"islands","","p"
"isthmus","","s"
"ivindoensi","","p"
"ivindoensis","","s"
"jaw","","s"
"jaws","","p"
"jaw_muscle","","s"
"joint","","s"
"joints","","p"
"juvenal","","s"
"juvenals","","p"
"juvenile","","s"
"juveniles","","p"
"katayamai","","p"
"katayamaus","","s"
"keel","","s"
"keels","","p"
"kidney","","s"
"kidneys","","p"
"kincaidii","","p"
"kincaidius","","s"
"kiritimati","","p"
"kiritimatus","","s"
"knob","","s"
"knobs","","p"
"labium","","s"
"lachrymal","","s"
"lachrymals","","p"
"lamella","","s"
"lamellae","","p"
"lamina","","s"
"laminae","","p"
"lamprologine","","s"
"lamprologines","","p"
"lappet","","s"
"lappets","","p"
"larva","","s"
"larvae","","p"
"laterale","","s"
"laterali","","s"
"lateralis","","p"
"lateralline","","s"
"layer","","s"
"layers","","p"
"leg","","s"
"legs","","p"
"lengthmeanrange","","s"
"lengthmeanranges","","p"
"length_rays","","p"
"lepidotrichia","","p"
"lepidotrichium","","s"
"leukophore","","s"
"leukophores","","p"
"levi","","s"
"levis","","p"
"ligastyle","","s"
"limb","","s"
"limbs","","p"
"limit","","s"
"limits","","p"
"line","","s"
"lines","","p"
"lip","","s"
"lips","","p"
"lobe","","s"
"lobes","","p"
"localities","","p"
"locality","","s"
"loop","","s"
"loops","","p"
"lower_jaw","","s"
"macula","","s"
"maculae","","p"
"magdalenensi","","s"
"magdalenensis","","p"
"males","","p"
"mandible","","s"
"mandibles","","p"
"mandibula","","s"
"mandibulae","","p"
"mandibulari","","s"
"mandibularis","","p"
"mandibulars","","p"
"mandibulary","","s"
"mangrove","","s"
"mangroves","","p"
"manubrium","","s"
"mao","","s"
"marco","","s"
"marcos","","p"
"margin","","s"
"margins","","p"
"maria","","s"
"mariae","","p"
"mark","","s"
"marking","","s"
"markings","","p"
"marks","","p"
"marleyi","","p"
"marleyus","","s"
"mass","","s"
"masses","","p"
"maunaloa","","s"
"maunaloae","","p"
"maxilla","","s"
"maxillae","","p"
"maxillar","","s"
"maxillaries","","p"
"maxillo_ethmoid","","s"
"medial","","s"
"medials","","p"
"melanophore","","s"
"melanophores","","p"
"membrane","","s"
"membranes","","p"
"meristic","","s"
"meristics","","p"
"mesethmoid","","s"
"mesocondyle","","s"
"mesopterygial","","s"
"mesopterygials","","p"
"mesosoma","","s"
"metacondyle","","s"
"metacondyles","","p"
"metapterygial","","s"
"metapterygials","","p"
"metapterygoid","","s"
"methanofolli","","s"
"methanofollis","","p"
"microbranchiospine","","s"
"microbranchiospines","","p"
"microsculpture","","s"
"microtrachy","","s"
"microtrachys","","p"
"mideye","","s"
"midfield","","s"
"midinterorbital","","s"
"midlevel","","s"
"midline","","s"
"midlines","","p"
"midorbit","","s"
"midregion","","s"
"midside","","s"
"midsnout","","s"
"mid_arm","","s"
"mid_axis","","s"
"mid_back","","s"
"mid_band","","s"
"mid_disc","","s"
"mid_distance","","s"
"mid_dorsum","","s"
"mid_flanks","","p"
"mid_fold","","s"
"mid_fork","","s"
"mid_gill","","s"
"mid_jaw","","s"
"mid_portion","","s"
"mid_sides","","p"
"mid_thorn","","s"
"mid_vertex","","s"
"minor","","s"
"minors","","p"
"modulation","","s"
"modulations","","p"
"monocuspid","","s"
"monserrati","","p"
"monserratus","","s"
"morphometrics","","p"
"mouth","","s"
"movi","","p"
"movus","","s"
"multiples","","p"
"muscle","","s"
"muscles","","p"
"myomere","","s"
"myomeres","","p"
"myotome","","s"
"myotomes","","p"
"nanochromi","","s"
"nanochromis","","p"
"nape","","s"
"nare","","s"
"nares","","p"
"naris","","s"
"nasals","","p"
"naso_frontal","","s"
"nech","","s"
"neches","","p"
"neoplecostomine","","s"
"neoplecostomines","","p"
"nerve","","s"
"nerves","","p"
"neurocranium","","s"
"neuromast","","s"
"neuromasts","","p"
"node","","s"
"nodes","","p"
"non_symphysial","","s"
"nostril","","s"
"nostrils","","p"
"notch","","s"
"notches","","p"
"nothobranchiina","","s"
"nothobranchiinae","","p"
"nub","","s"
"nubs","","p"
"nudagobioide","","s"
"nudagobioides","","p"
"obscure","","s"
"obscures","","p"
"occipital_nuchal","","s"
"occiput","","s"
"ocelli","","p"
"ocellus","","s"
"odontode","","s"
"odontodes","","p"
"omeiensi","","s"
"omeiensis","","p"
"opening","","s"
"openings","","p"
"opercle","","s"
"opercles","","p"
"opercule","","s"
"orbit","","s"
"orbital","","s"
"orbits","","p"
"organ","","s"
"organs","","p"
"origin","","s"
"origins","","p"
"ossicle","","s"
"ossicles","","p"
"ossification","","s"
"ossifications","","p"
"outer_row","","s"
"ovaries","","p"
"ovary","","s"
"overtone","","s"
"pad","","s"
"pads","","p"
"pagei","","p"
"pageus","","s"
"palate","","s"
"palatines","","p"
"pales","","p"
"papilla","","s"
"papillae","","p"
"parapophyses","","p"
"parapophysis","","s"
"parhypural","","s"
"parietal","","s"
"parietals","","p"
"parini","","p"
"parinus","","s"
"patch","","s"
"patches","","p"
"patterns","","p"
"peckoltia","","p"
"peckoltium","","s"
"pectoralfin","","s"
"pectoralfins","","p"
"pectorals","","p"
"pectoral_base","","s"
"pectoral_pelvic","","s"
"pectoral_spine","","s"
"pedicel","","s"
"pedicels","","p"
"peduncle","","s"
"pelvicfins","","p"
"pelvics","","p"
"pelvic_anal","","s"
"pelvis","","p"
"perforation","","s"
"perforations","","p"
"peritoneum","","s"
"petiole","","s"
"pharyngeal","","s"
"pharyngeals","","p"
"pharyngobranchial","","s"
"pharyngobranchials","","p"
"photophore","","s"
"photophores","","p"
"pigment","","s"
"pigmentation","","s"
"pigments","","p"
"pimelodida","","s"
"pimelodidae","","p"
"pit","","s"
"pits","","p"
"plate","","s"
"platelet","","s"
"platelets","","p"
"plates","","p"
"pleat","","s"
"pleats","","p"
"plica","","s"
"plicae","","p"
"pocket","","s"
"pockets","","p"
"points","","p"
"polyacti","","s"
"polyactis","","p"
"polymorphism","","s"
"pore","","s"
"pores","","p"
"portion","","s"
"portions","","p"
"poss","","s"
"posses","","p"
"postcleithrum","","s"
"posteriors","","p"
"postorbit","","s"
"postorbital","","s"
"postorbitals","","p"
"postpelvic","","s"
"postpetiole","","s"
"posttemporal","","s"
"postzygapophyse","","s"
"postzygapophyses","","p"
"post_anal","","s"
"post_fold","","s"
"post_spine","","s"
"pouch","","s"
"pouches","","p"
"precaudal","","s"
"precaudals","","p"
"precursor","","s"
"precursors","","p"
"premaxilla","","s"
"premaxillae","","p"
"premaxillaries","","p"
"prenarial","","s"
"preopercle","","s"
"preoperculomandibular","","s"
"preoperculomandibulars","","p"
"preoral","","s"
"prepectoral","","s"
"prezygapophyse","","s"
"prezygapophyses","","p"
"pre_anus","","s"
"pre_spine","","s"
"pre_sting","","s"
"pre_vent","","s"
"prickle","","s"
"prickles","","p"
"process","","s"
"processes","","p"
"projection","","s"
"projections","","p"
"prolongation","","s"
"prolongations","","p"
"promesonotum","","s"
"propodeum","","s"
"propterygial","","s"
"propterygials","","p"
"propterygium","","s"
"protrusion","","s"
"protrusions","","p"
"province","","s"
"provinces","","p"
"pseudobranch","","s"
"pseudobranchia","","p"
"pseudobranchiae","","p"
"pseudopera","","s"
"pseudorhipidion","","s"
"pseudosiphon","","s"
"pteroticsupracleithrum_posttemporal","","s"
"pterygiophore","","s"
"pterygiophores","","p"
"pterygoid","","s"
"pterygoids","","p"
"ptychochromoide","","s"
"ptychochromoides","","p"
"puerzli","","p"
"puerzlus","","s"
"pulse","","s"
"pulses","","p"
"punctate","","s"
"puncture","","s"
"punctures","","p"
"pupil","","s"
"pupils","","p"
"quarters","","p"
"radial","","s"
"radials","","p"
"radii","","p"
"radius","","s"
"raker","","s"
"rakers","","p"
"ray","","s"
"rays","","p"
"raysi","","p"
"raysii","","p"
"raysius","","s"
"raysus","","s"
"reef","","s"
"reefs","","p"
"reflection","","s"
"reflections","","p"
"region","","s"
"regions","","p"
"reticulation","","s"
"reticulations","","p"
"retroarticular","","s"
"rhabdaleste","","s"
"rhabdalestes","","p"
"rhipidion","","s"
"rib","","s"
"ribs","","p"
"rictus","","s"
"ridge","","s"
"ridges","","p"
"rim","","s"
"rims","","p"
"ring","","s"
"rings","","p"
"root","","s"
"roots","","p"
"rosette","","s"
"rosettes","","p"
"row","","s"
"roxa","","p"
"roxas","","p"
"rudiment","","s"
"rudiments","","p"
"ruga","","s"
"rugae","","p"
"ruginode","","s"
"ruginodi","","s"
"ruginodis","","p"
"saddle","","s"
"saddlemark","","s"
"saddlemarks","","p"
"saddles","","s"
"saf","","s"
"sagitta","","s"
"saliencies","","p"
"saliency","","s"
"santschi","","p"
"santschus","","s"
"savoryi","","p"
"savoryus","","s"
"scale","","s"
"scales","","p"
"scape","","s"
"scapes","","p"
"scapula","","s"
"scapular","","s"
"scapulars","","p"
"scar","","s"
"scars","","p"
"score","","s"
"scores","","p"
"scrobe","","s"
"scrobes","","p"
